sequential,parallel
0.019276,0.024601
0.019241,0.024778
0.020233,0.024812
0.020224,0.024966
0.020392,0.024879
0.019018,0.017877
0.022167,0.030603
0.020440,0.025132
0.021251,0.024633
0.020223,0.024955
0.020480,0.025269
0.020281,0.024482
0.020189,0.024782
0.019536,0.026178
0.020217,0.024814
0.020054,0.024579
0.019416,0.024644
0.018968,0.027813
0.023628,0.028801
0.021185,0.025653
0.019928,0.014034
0.020428,0.024460
0.020235,0.023876
0.019170,0.023649
0.020493,0.024840
0.019881,0.028917
0.022282,0.026605
0.021489,0.024753
0.020121,0.024053
0.020354,0.025926
0.020066,0.026947
0.022012,0.026358
0.019197,0.019606
0.018335,0.024760
0.018714,0.024576
0.020254,0.024638
0.019538,0.027660
0.022441,0.027420
0.021525,0.024850
0.020150,0.027651
0.020359,0.025058
0.021796,0.024822
0.020250,0.024757
0.020267,0.025462
0.020024,0.024340
0.020502,0.024283
0.020429,0.024832
0.020153,0.024132
0.020683,0.024703
0.020228,0.028863
0.019595,0.023959
0.021860,0.027289
0.024012,0.023099
0.019459,0.023041
0.018656,0.024266
0.025529,0.024057
0.020307,0.023001
0.018883,0.024916
0.020181,0.024756
0.020222,0.029949
0.015628,0.026198
0.021126,0.026051
0.018949,0.028459
0.019290,0.024108
0.018054,0.024251
0.020205,0.024752
0.020224,0.024874
0.019814,0.028899
0.022009,0.014008
0.016405,0.013798
0.016450,0.028632
0.023585,0.027796
0.021205,0.025118
0.021156,0.021246
0.019732,0.031215
0.023263,0.024934
0.019189,0.033391
0.023748,0.034988
0.027001,0.026436
0.020301,0.024336
0.020558,0.024793
0.020115,0.023700
0.018563,0.022046
0.025009,0.029194
0.020708,0.025022
0.021065,0.024538
0.018926,0.024064
0.019421,0.024737
0.019798,0.024757
0.018717,0.025373
0.018867,0.031882
0.023963,0.034707
0.025603,0.026529
0.020284,0.024797
0.020115,0.024905
0.020156,0.024450
0.019886,0.024736
0.020096,0.024742
0.019890,0.024435
0.019128,0.024998
0.018959,0.015933
0.020589,0.024411
0.020276,0.024383
0.020440,0.025873
0.020137,0.025655
0.020138,0.025589
0.020386,0.026349
0.020822,0.024713
0.020283,0.024750
0.020373,0.024622
0.020469,0.033246
0.023609,0.031110
0.022752,0.027360
0.021727,0.024801
0.020593,0.024640
0.020304,0.025771
0.020299,0.024497
0.020331,0.024768
0.019764,0.014066
0.020952,0.026354
0.020628,0.024703
0.020153,0.023994
0.020549,0.024792
0.020152,0.024872
0.020089,0.026118
0.019450,0.024354
0.020408,0.024679
0.020131,0.031777
0.024221,0.028183
0.023738,0.026101
0.018862,0.026453
0.020669,0.028623
0.018531,0.014241
0.020298,0.025215
0.020166,0.024493
0.019971,0.025231
0.019632,0.030381
0.013949,0.029369
0.014482,0.024209
0.022341,0.031576
0.022463,0.025089
0.020303,0.025412
0.020311,0.025192
0.020449,0.023157
0.019581,0.029000
0.021479,0.029255
0.017912,0.027192
0.020581,0.028655
0.022214,0.024966
0.020288,0.025370
0.020767,0.024562
0.020191,0.024475
0.020439,0.025304
0.020244,0.024804
0.020147,0.024789
0.020163,0.024738
0.020274,0.024461
0.020130,0.025797
0.020092,0.024947
0.020324,0.025384
0.020134,0.024723
0.020209,0.024778
0.020186,0.024652
0.020330,0.024418
0.020562,0.024781
0.020145,0.024242
0.020458,0.025661
0.018516,0.022401
0.024765,0.027732
0.019013,0.020393
0.021219,0.024732
0.020396,0.024747
0.020305,0.025101
0.020183,0.024948
0.020188,0.026097
0.017415,0.024021
0.019446,0.028466
0.026560,0.022975
